test,mode,horizon,optimized_enabled,effective_parallel_mode,compressed_candidate_engaged,translation_ms,setup_grounding_ms,solving_ms,memory_used_mb,workflow_candidates_found,constraints_used,timed_out
GeoEvents,multi-shot,1,false,,false,14,38,5,40.70,0,true,false
GeoEvents,multi-shot,2,false,,false,14,29,34,40.70,7,true,false
GeoEvents,multi-shot,3,false,,false,14,64,1817,40.70,943,true,false
GeoEvents,multi-shot,4,false,,false,14,107,196,40.70,1000,true,false
GeoEvents,multi-shot,1,false,,false,13,37,5,40.72,0,true,false
GeoEvents,multi-shot,2,false,,false,13,28,32,40.72,7,true,false
GeoEvents,multi-shot,3,false,,false,13,61,1836,40.72,943,true,false
GeoEvents,multi-shot,4,false,,false,13,99,5230,40.72,3000,true,false
GeoEvents,multi-shot,1,false,,false,13,38,5,45.34,0,true,false
GeoEvents,multi-shot,2,false,,false,13,29,35,45.34,7,true,false
GeoEvents,multi-shot,3,false,,false,13,64,1902,45.34,775,true,false
GeoEvents,multi-shot,4,false,,false,13,106,1192,45.34,1000,true,false
