test,mode,horizon,optimized_enabled,effective_parallel_mode,compressed_candidate_engaged,translation_ms,setup_grounding_ms,solving_ms,memory_used_mb,workflow_candidates_found,constraints_used,timed_out
Example2,multi-shot,1,true,,true,14,11,0,40.64,0,true,false
Example2,multi-shot,2,true,,true,14,20,4,40.64,0,true,false
Example2,multi-shot,3,true,,true,14,44,14,40.64,0,true,false
Example2,multi-shot,4,true,,true,14,76,60,40.64,54,true,false
Example2,multi-shot,5,true,,true,14,126,674,40.64,1000,true,false
Example2,multi-shot,1,true,,true,14,11,0,40.62,0,true,false
Example2,multi-shot,2,true,,true,14,20,4,40.62,0,true,false
Example2,multi-shot,3,true,,true,14,44,14,40.62,0,true,false
Example2,multi-shot,4,true,,true,14,76,61,40.62,54,true,false
Example2,multi-shot,5,true,,true,14,125,687,40.62,1000,true,false
Example2,multi-shot,1,true,,true,15,11,0,43.92,0,true,false
Example2,multi-shot,2,true,,true,15,20,4,43.92,0,true,false
Example2,multi-shot,3,true,,true,15,44,14,43.92,0,true,false
Example2,multi-shot,4,true,,true,15,75,61,43.92,54,true,false
Example2,multi-shot,5,true,,true,15,126,679,43.92,1000,true,false
Example2,multi-shot,1,true,,true,15,11,0,40.86,0,true,false
Example2,multi-shot,2,true,,true,15,20,4,40.86,0,true,false
Example2,multi-shot,3,true,,true,15,44,14,40.86,0,true,false
Example2,multi-shot,4,true,,true,15,78,63,40.86,54,true,false
Example2,multi-shot,5,true,,true,15,127,689,40.86,1000,true,false
Example2,multi-shot,1,true,,true,15,11,0,40.84,0,true,false
Example2,multi-shot,2,true,,true,15,20,4,40.84,0,true,false
Example2,multi-shot,3,true,,true,15,44,14,40.84,0,true,false
Example2,multi-shot,4,true,,true,15,78,61,40.84,54,true,false
Example2,multi-shot,5,true,,true,15,129,674,40.84,1000,true,false
Example2,multi-shot,1,true,,true,15,11,0,40.89,0,true,false
Example2,multi-shot,2,true,,true,15,21,4,40.89,0,true,false
Example2,multi-shot,3,true,,true,15,45,14,40.89,0,true,false
Example2,multi-shot,4,true,,true,15,78,63,40.89,54,true,false
Example2,multi-shot,5,true,,true,15,128,705,40.89,1000,true,false
Example2,multi-shot,1,true,"10,split",true,21,12,0,42.69,0,true,false
Example2,multi-shot,2,true,"10,split",true,21,20,4,42.69,0,true,false
Example2,multi-shot,3,true,"10,split",true,21,44,15,42.69,0,true,false
Example2,multi-shot,4,true,"10,split",true,21,79,70,42.73,54,true,false
Example2,multi-shot,5,true,"10,split",true,21,125,294,42.75,1000,true,false
Example2,multi-shot,1,true,"10,split",true,16,11,0,40.97,0,true,false
Example2,multi-shot,2,true,"10,split",true,16,22,5,40.97,0,true,false
Example2,multi-shot,3,true,"10,split",true,16,50,17,40.97,0,true,false
Example2,multi-shot,4,true,"10,split",true,16,86,68,41.08,54,true,false
Example2,multi-shot,5,true,"10,split",true,16,145,307,41.11,1000,true,false
Example2,multi-shot,1,true,"10,split",true,54,18,1,41.47,0,true,false
Example2,multi-shot,2,true,"10,split",true,54,34,8,41.47,0,true,false
Example2,multi-shot,3,true,"10,split",true,54,87,37,41.47,0,true,false
Example2,multi-shot,4,true,"10,split",true,54,157,150,41.47,54,true,false
Example2,multi-shot,5,true,"10,split",true,54,253,560,41.47,1000,true,false
Example2,multi-shot,1,true,"10,split",true,26,14,1,41.27,0,true,false
Example2,multi-shot,2,true,"10,split",true,26,29,7,41.27,0,true,false
Example2,multi-shot,3,true,"10,split",true,26,74,28,41.27,0,true,false
Example2,multi-shot,4,true,"10,split",true,26,130,109,41.27,54,true,false
Example2,multi-shot,5,true,"10,split",true,26,207,387,41.27,1000,true,false
