test,mode,horizon,optimized_enabled,effective_parallel_mode,compressed_candidate_engaged,translation_ms,setup_grounding_ms,solving_ms,memory_used_mb,workflow_candidates_found,constraints_used,timed_out
No2,multi-shot,1,true,"6,compete",true,949,50,0,82.39,0,true,false
No2,multi-shot,2,true,"6,compete",true,949,32,0,82.39,0,true,false
No2,multi-shot,3,true,"6,compete",true,949,397,111,82.42,0,true,false
No2,multi-shot,4,true,"6,compete",true,949,962,653,82.47,0,true,false
No2,multi-shot,5,true,"6,compete",true,949,1861,4588,82.47,1000,true,false
No2,multi-shot,1,true,"6,compete",true,940,48,0,82.84,0,true,false
No2,multi-shot,2,true,"6,compete",true,940,30,0,82.84,0,true,false
No2,multi-shot,3,true,"6,compete",true,940,366,105,82.84,0,true,false
No2,multi-shot,4,true,"6,compete",true,940,880,565,82.94,0,true,false
No2,multi-shot,5,true,"6,compete",true,940,1716,3610,83.00,823,true,false
No2,multi-shot,6,true,"6,compete",true,940,2262,1798,83.00,1000,true,false
No2,multi-shot,1,true,"6,compete",true,963,48,0,82.80,0,true,false
No2,multi-shot,2,true,"6,compete",true,963,31,0,82.80,0,true,false
No2,multi-shot,3,true,"6,compete",true,963,368,101,82.80,0,true,false
No2,multi-shot,4,true,"6,compete",true,963,878,550,82.88,0,true,false
No2,multi-shot,5,true,"6,compete",true,963,1544,3458,82.95,823,true,false
No2,multi-shot,6,true,"6,compete",true,963,2412,1792,82.95,1000,true,false
No2,multi-shot,1,true,"6,compete",true,945,49,0,82.61,0,true,false
No2,multi-shot,2,true,"6,compete",true,945,31,0,82.61,0,true,false
No2,multi-shot,3,true,"6,compete",true,945,373,103,82.61,0,true,false
No2,multi-shot,4,true,"6,compete",true,945,898,522,82.66,0,true,false
No2,multi-shot,5,true,"6,compete",true,945,1594,4992,82.77,499,true,false
No2,multi-shot,6,true,"6,compete",true,945,2270,7789,82.77,1000,true,false
No2,multi-shot,1,true,"6,compete",true,900,47,0,83.30,0,true,false
No2,multi-shot,2,true,"6,compete",true,900,28,0,83.30,0,true,false
No2,multi-shot,3,true,"6,compete",true,900,336,94,83.39,0,true,false
No2,multi-shot,4,true,"6,compete",true,900,732,425,83.39,0,true,false
No2,multi-shot,5,true,"6,compete",true,900,1292,3062,83.42,613,true,false
No2,multi-shot,6,true,"6,compete",true,900,2069,3048,83.42,1000,true,false
No2,multi-shot,1,true,"6,compete",true,913,47,0,83.44,0,true,false
No2,multi-shot,2,true,"6,compete",true,913,28,0,83.44,0,true,false
No2,multi-shot,3,true,"6,compete",true,913,333,98,83.44,0,true,false
No2,multi-shot,4,true,"6,compete",true,913,720,369,83.52,0,true,false
No2,multi-shot,5,true,"6,compete",true,913,1286,2761,83.52,613,true,false
No2,multi-shot,6,true,"6,compete",true,913,2048,2344,83.52,1000,true,false
No2,multi-shot,1,true,"6,compete",true,926,48,0,84.08,0,true,false
No2,multi-shot,2,true,"6,compete",true,926,31,0,84.08,0,true,false
No2,multi-shot,3,true,"6,compete",true,926,368,103,84.17,0,true,false
No2,multi-shot,4,true,"6,compete",true,926,944,531,84.23,0,true,false
No2,multi-shot,5,true,"6,compete",true,926,1707,4068,84.23,823,true,false
No2,multi-shot,6,true,"6,compete",true,926,2071,1757,84.23,1000,true,false
No2,multi-shot,1,true,"6,compete",true,921,48,0,82.73,0,true,false
No2,multi-shot,2,true,"6,compete",true,921,30,0,82.73,0,true,false
No2,multi-shot,3,true,"6,compete",true,921,369,101,82.84,0,true,false
No2,multi-shot,4,true,"6,compete",true,921,904,582,82.92,0,true,false
No2,multi-shot,5,true,"6,compete",true,921,1715,4341,82.95,1000,true,false
No2,multi-shot,1,false,,false,259,2002,73,71.44,0,true,false
No2,multi-shot,2,false,,false,259,304,86,71.44,0,true,false
No2,multi-shot,3,false,,false,259,510,290,71.44,0,true,false
No2,multi-shot,4,false,,false,259,997,986,71.44,0,true,false
No2,multi-shot,5,false,,false,259,1506,78225,71.48,1000,true,false
No2,multi-shot,1,true,"6,compete",true,935,52,0,82.52,0,true,false
No2,multi-shot,2,true,"6,compete",true,935,32,0,82.52,0,true,false
No2,multi-shot,3,true,"6,compete",true,935,390,107,82.55,0,true,false
No2,multi-shot,4,true,"6,compete",true,935,939,578,82.62,0,true,false
No2,multi-shot,5,true,"6,compete",true,935,1723,4047,82.62,1395,true,false
No2,multi-shot,6,true,"6,compete",true,935,2681,3780,82.66,3000,true,false
No2,multi-shot,1,true,"6,compete",true,1035,55,0,85.41,0,true,false
No2,multi-shot,2,true,"6,compete",true,1035,35,0,85.41,0,true,false
No2,multi-shot,3,true,"6,compete",true,1035,448,130,85.41,0,true,false
No2,multi-shot,4,true,"6,compete",true,1035,992,608,85.41,0,true,false
No2,multi-shot,5,true,"6,compete",true,1035,1798,3771,85.41,823,true,false
No2,multi-shot,6,true,"6,compete",true,1035,2305,1748,85.41,1000,true,false
No2,multi-shot,1,true,"6,compete",true,974,53,0,89.45,0,true,false
No2,multi-shot,2,true,"6,compete",true,974,34,0,89.45,0,true,false
No2,multi-shot,3,true,"6,compete",true,974,412,124,89.45,0,true,false
No2,multi-shot,4,true,"6,compete",true,974,988,599,89.48,0,true,false
No2,multi-shot,5,true,"6,compete",true,974,1875,4633,89.50,425,true,false
No2,multi-shot,6,true,"6,compete",true,974,2718,4093,89.50,1000,true,false
