run_id,timestamp_utc,mode,solver_family,solver_approach,grounding_strategy,config_path,ontology_used,ontology_entry_count,tool_annotation_used,tool_count,constraints_used,constraint_count,translation_builder,translation_schema,completed_stage,fact_count,translation_sec,translation_peak_rss_mb,base_grounding_sec,base_grounding_peak_rss_mb,grounding_sec_total,solving_sec_total,rendering_sec_total,total_sec,raw_models_seen,raw_solutions_found,solutions_found,grounded_horizons,first_satisfiable_horizon,optimized_enabled,effective_parallel_mode,compressed_candidate_engaged
8fec0a66-74d4-40e0-82f6-489e94edf9b6,2026-04-12T13:58:36.123625+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/MassSpectrometry/No2/config_ASP_Masspectrometry_No2_extended_WC.json,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/MassSpectrometry/edam.owl,3421,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/MassSpectrometry/bio.tools_proteomics_domain.json,277,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/MassSpectrometry/No2/constraints_ASP_no2.json,3,candidate_compressed,compressed_candidate,run,29033,0.360473,72.203,0.038864,61.938,4.397447,1.422464,0.000290,6.180675,0,0,0,5,,true,"6,compete",true
2f6276e0-b5c2-4279-9c65-784c11ae76dc,2026-04-12T13:58:48.753207+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/MassSpectrometry/No2/config_ASP_Masspectrometry_No2_extended_WC.json,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/MassSpectrometry/edam.owl,3421,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/MassSpectrometry/bio.tools_proteomics_domain.json,277,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/MassSpectrometry/No2/constraints_ASP_no2.json,3,runtime_legacy,legacy,run,23492,0.290021,68.672,0.774105,299.266,9.012994,7.460844,0.007254,16.771114,152,152,12,5,5,false,,false
2bcd0604-f414-4a93-a711-ebabec1fb514,2026-04-12T14:01:48.479136+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/MassSpectrometry/No2/config_ASP_Masspectrometry_No2_extended_WC.json,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/MassSpectrometry/edam.owl,3421,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/MassSpectrometry/bio.tools_proteomics_domain.json,277,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/MassSpectrometry/No2/constraints_ASP_no2.json,3,candidate_compressed,compressed_candidate,run,29234,0.411328,71.625,0.047109,61.594,5.286360,3.727420,0.013348,9.438456,341,341,255,5,5,true,"6,compete",true
fcbfce68-846c-4eb0-a8a1-c6e11848dce0,2026-04-12T14:21:13.366592+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/MassSpectrometry/No2/config_ASP_Masspectrometry_No2_extended_WC.json,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/MassSpectrometry/edam.owl,3421,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/MassSpectrometry/bio.tools_proteomics_domain.json,277,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/MassSpectrometry/No2/constraints_ASP_no2.json,3,candidate_compressed,compressed_candidate,run,29234,0.363381,71.984,0.040068,62.016,4.329775,3.874195,0.011925,8.579276,341,341,255,5,5,true,"6,compete",true
b2a5006e-6596-4296-898a-f1695145a472,2026-04-12T14:35:37.223489+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/MassSpectrometry/No2/config_ASP_Masspectrometry_No2_extended_WC.json,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/MassSpectrometry/edam.owl,3421,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/MassSpectrometry/bio.tools_proteomics_domain.json,277,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/MassSpectrometry/No2/constraints_ASP_no2.json,3,candidate_compressed,compressed_candidate,run,29567,0.357856,71.594,0.038422,62.156,4.583945,5.156729,0.035667,10.134198,1395,1000,425,5,5,true,"6,compete",true
cf703091-55dc-428d-8fe4-930ae0ecf104,2026-04-12T14:48:14.593077+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/MassSpectrometry/No2/config_ASP_Masspectrometry_No2_extended_WC.json,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/MassSpectrometry/edam.owl,3421,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/MassSpectrometry/bio.tools_proteomics_domain.json,277,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/MassSpectrometry/No2/constraints_ASP_no2.json,3,runtime_legacy,legacy,run,23514,0.299784,68.531,0.753906,323.844,2.982152,1.497838,0.006080,4.785854,152,152,12,"1,2,3,4",4,false,"6,compete",false
2d64f471-e95b-4047-b881-f80bd848a414,2026-04-12T14:51:39.855613+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/MassSpectrometry/No2/config_ASP_Masspectrometry_No2_extended_WC.json,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/MassSpectrometry/edam.owl,3421,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/MassSpectrometry/bio.tools_proteomics_domain.json,277,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/MassSpectrometry/No2/constraints_ASP_no2.json,3,runtime_legacy,legacy,run,23514,0.300678,65.500,1.864407,338.656,8.656049,3.284344,0.000294,12.241365,0,0,0,"1,2,3,4",,false,"6,compete",false
389e3a5f-075e-4c56-8985-3ade4e83a905,2026-04-12T14:59:04.424649+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/MassSpectrometry/No2/config_ASP_Masspectrometry_No2_extended_WC.json,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/MassSpectrometry/edam.owl,3421,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/MassSpectrometry/bio.tools_proteomics_domain.json,277,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/MassSpectrometry/No2/constraints_ASP_no2.json,3,runtime_legacy,legacy,run,23514,0.339461,68.906,2.067913,333.125,15.208870,21.016910,0.019292,36.584534,425,425,425,"1,2,3,4,5",5,false,"6,compete",false
713ae8ea-24df-4589-8623-c6c26d1ce3bd,2026-04-12T15:46:23.231018+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/MassSpectrometry/No2/config_ASP_Masspectrometry_No2_extended_WC.json,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/MassSpectrometry/edam.owl,3421,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/MassSpectrometry/bio.tools_proteomics_domain.json,277,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/MassSpectrometry/No2/constraints_ASP_no2.json,3,runtime_legacy,legacy,run,23514,0.281345,68.609,1.858865,300.250,11.761311,347.766699,0.040373,359.849728,197219,1000,1000,"1,2,3,4,5",5,false,"10,compete",false
2d274996-d412-42df-a353-6b62d22de9b0,2026-04-12T16:12:08.437208+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/MassSpectrometry/No2/config_ASP_Masspectrometry_No2_extended_WC.json,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/MassSpectrometry/edam.owl,3421,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/MassSpectrometry/bio.tools_proteomics_domain.json,277,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/MassSpectrometry/No2/constraints_ASP_no2.json,3,runtime_legacy,legacy,run,28335,0.321912,68.859,2.136534,310.875,9.023759,77.265986,0.042745,86.654402,28095,1000,1000,"1,2,3,4,5,6",5,false,"10,compete",false
