test,mode,horizon,optimized_enabled,effective_parallel_mode,compressed_candidate_engaged,translation_ms,setup_grounding_ms,solving_ms,memory_used_mb,workflow_candidates_found,constraints_used,timed_out
No2,multi-shot,1,false,,false,102,55,1,67.05,0,true,false
No2,multi-shot,2,false,,false,102,6,1,67.05,0,true,false
No2,multi-shot,3,false,,false,102,7,2,67.05,1,true,false
No2,multi-shot,4,false,,false,102,8,6,67.05,6,true,false
No2,multi-shot,5,false,,false,102,11,52,67.05,24,true,false
No2,multi-shot,6,false,,false,102,13,604,67.05,86,true,false
No2,multi-shot,7,false,,false,102,16,7406,67.05,297,true,false
No2,multi-shot,8,false,,false,102,19,90224,67.05,1000,true,false
No2,multi-shot,1,false,,false,92,49,1,67.22,0,true,false
No2,multi-shot,2,false,,false,92,5,1,67.22,0,true,false
No2,multi-shot,3,false,,false,92,6,1,67.22,1,true,false
