run_id,timestamp_utc,mode,solver_family,solver_approach,grounding_strategy,config_path,ontology_used,ontology_entry_count,tool_annotation_used,tool_count,constraints_used,constraint_count,translation_builder,translation_schema,completed_stage,fact_count,translation_sec,translation_peak_rss_mb,combined_peak_rss_mb,base_grounding_sec,base_grounding_peak_rss_mb,grounding_sec_total,solving_sec_total,rendering_sec_total,total_sec,raw_models_seen,raw_solutions_found,solutions_found,grounded_horizons,first_satisfiable_horizon,optimized_enabled,effective_parallel_mode,compressed_candidate_engaged
2f0c1465-2c5f-4b23-ad89-26f0e6e011bf,2026-04-21T23:41:22.308482+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/workflomics/APEvASP_test_case_bench/test_cases/MassSpectrometry/No4/config_ASP_Masspectrometry_No4_extended_WC.json,/Volumes/ZGMF-X20A/workflomics/APEvASP_test_case_bench/test_cases/MassSpectrometry/edam.owl,3421,/Volumes/ZGMF-X20A/workflomics/APEvASP_test_case_bench/test_cases/MassSpectrometry/bio.tools_proteomics_domain.json,277,/Volumes/ZGMF-X20A/workflomics/APEvASP_test_case_bench/test_cases/MassSpectrometry/No4/constraints_ASP_no4.json,2,candidate_optimized,optimized_candidate,run,60431,0.952078,82.266,89.031,0.045596,81.094,3.145218,3.324580,0.002203,7.424079,0,0,1000,"1,2,3,4,5",3,true,"6,compete",true
0d0c1f23-9a72-4f4e-a678-5bab9b17ffcd,2026-04-21T23:44:06.496703+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/workflomics/APEvASP_test_case_bench/test_cases/MassSpectrometry/No4/config_ASP_Masspectrometry_No4_extended_WC.json,/Volumes/ZGMF-X20A/workflomics/APEvASP_test_case_bench/test_cases/MassSpectrometry/edam.owl,3421,/Volumes/ZGMF-X20A/workflomics/APEvASP_test_case_bench/test_cases/MassSpectrometry/bio.tools_proteomics_domain.json,277,/Volumes/ZGMF-X20A/workflomics/APEvASP_test_case_bench/test_cases/MassSpectrometry/No4/constraints_ASP_no4.json,2,candidate_optimized,optimized_candidate,run,60431,0.917824,81.312,87.828,0.044938,80.922,2.886299,3.050458,0.002327,6.856909,0,0,1000,"1,2,3,4,5",3,true,"6,compete",true
bc3756cc-0b9a-4a79-bb27-7d778900ad32,2026-04-22T00:08:24.051879+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/workflomics/APEvASP_test_case_bench/test_cases/MassSpectrometry/No4/config_ASP_Masspectrometry_No4_extended_WC.json,/Volumes/ZGMF-X20A/workflomics/APEvASP_test_case_bench/test_cases/MassSpectrometry/edam.owl,3421,/Volumes/ZGMF-X20A/workflomics/APEvASP_test_case_bench/test_cases/MassSpectrometry/bio.tools_proteomics_domain.json,277,/Volumes/ZGMF-X20A/workflomics/APEvASP_test_case_bench/test_cases/MassSpectrometry/No4/constraints_ASP_no4.json,2,candidate_optimized,optimized_candidate,run,60431,0.895490,81.172,88.312,0.041268,81.031,2.850035,2.958845,0.001869,6.706239,0,0,1000,"1,2,3,4,5",3,true,"6,compete",true
4fbe22a0-bd29-4880-a6f3-3c1f5bd45b8a,2026-04-22T00:09:56.080606+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/workflomics/APEvASP_test_case_bench/test_cases/MassSpectrometry/No4/config_ASP_Masspectrometry_No4_extended_WC.json,/Volumes/ZGMF-X20A/workflomics/APEvASP_test_case_bench/test_cases/MassSpectrometry/edam.owl,3421,/Volumes/ZGMF-X20A/workflomics/APEvASP_test_case_bench/test_cases/MassSpectrometry/bio.tools_proteomics_domain.json,277,/Volumes/ZGMF-X20A/workflomics/APEvASP_test_case_bench/test_cases/MassSpectrometry/No4/constraints_ASP_no4.json,2,candidate_optimized,optimized_candidate,run,60431,0.911292,80.875,87.266,0.044479,81.000,2.992626,2.629009,0.001944,6.534870,0,0,1000,"1,2,3,4,5",3,true,"6,compete",true
70c6f49f-6455-40ef-b221-5cfbf26ea34f,2026-04-22T06:24:03.962432+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/workflomics/APEvASP_test_case_bench/test_cases/MassSpectrometry/No4/config_ASP_Masspectrometry_No4_extended_WC.json,/Volumes/ZGMF-X20A/workflomics/APEvASP_test_case_bench/test_cases/MassSpectrometry/edam.owl,3421,/Volumes/ZGMF-X20A/workflomics/APEvASP_test_case_bench/test_cases/MassSpectrometry/bio.tools_proteomics_domain.json,277,/Volumes/ZGMF-X20A/workflomics/APEvASP_test_case_bench/test_cases/MassSpectrometry/No4/constraints_ASP_no4.json,2,candidate_optimized,optimized_candidate,run,60431,0.911363,81.969,88.797,0.043597,81.000,3.110052,3.157061,0.002696,7.181172,0,0,1000,"1,2,3,4,5",3,true,"6,compete",true
0174e134-e420-43ce-88c0-201d6a9a7056,2026-04-22T12:32:46.644859+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/workflomics/APEvASP_test_case_bench/test_cases/MassSpectrometry/No4/config_ASP_Masspectrometry_No4_extended_WC.json,/Volumes/ZGMF-X20A/workflomics/APEvASP_test_case_bench/test_cases/MassSpectrometry/edam.owl,3421,/Volumes/ZGMF-X20A/workflomics/APEvASP_test_case_bench/test_cases/MassSpectrometry/bio.tools_proteomics_domain.json,277,/Volumes/ZGMF-X20A/workflomics/APEvASP_test_case_bench/test_cases/MassSpectrometry/No4/constraints_ASP_no4.json,2,candidate_optimized,optimized_candidate,run,60431,0.904254,81.109,87.453,0.045097,81.156,3.092350,2.985196,0.002383,6.984182,0,0,1000,"1,2,3,4,5",3,true,"6,compete",true
bb47af1e-06f2-4a96-b795-21914400670e,2026-04-22T12:33:57.610407+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/workflomics/APEvASP_test_case_bench/test_cases/MassSpectrometry/No4/config_ASP_Masspectrometry_No4_extended_WC.json,/Volumes/ZGMF-X20A/workflomics/APEvASP_test_case_bench/test_cases/MassSpectrometry/edam.owl,3421,/Volumes/ZGMF-X20A/workflomics/APEvASP_test_case_bench/test_cases/MassSpectrometry/bio.tools_proteomics_domain.json,277,/Volumes/ZGMF-X20A/workflomics/APEvASP_test_case_bench/test_cases/MassSpectrometry/No4/constraints_ASP_no4.json,2,runtime_legacy,legacy,run,23432,0.259776,70.125,76.359,2.128057,307.953,5.655761,12.840260,0.002021,18.757817,0,0,1000,"1,2,3,4,5",3,false,,false
ad68cf3a-48ba-426c-92cf-89de271ef86f,2026-04-22T12:38:28.572020+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/workflomics/APEvASP_test_case_bench/test_cases/MassSpectrometry/No4/config_ASP_Masspectrometry_No4_extended_WC.json,/Volumes/ZGMF-X20A/workflomics/APEvASP_test_case_bench/test_cases/MassSpectrometry/edam.owl,3421,/Volumes/ZGMF-X20A/workflomics/APEvASP_test_case_bench/test_cases/MassSpectrometry/bio.tools_proteomics_domain.json,277,/Volumes/ZGMF-X20A/workflomics/APEvASP_test_case_bench/test_cases/MassSpectrometry/No4/constraints_ASP_no4.json,2,candidate_optimized,optimized_candidate,run,60431,0.928297,80.844,157.906,0.045521,81.047,3.109729,5.715118,0.048290,9.801433,3000,3000,3000,"1,2,3,4,5",3,true,"6,compete",true
3168addf-cb99-4069-b862-2f2c81785274,2026-04-22T12:40:38.447596+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/workflomics/APEvASP_test_case_bench/test_cases/MassSpectrometry/No4/config_ASP_Masspectrometry_No4_extended_WC.json,/Volumes/ZGMF-X20A/workflomics/APEvASP_test_case_bench/test_cases/MassSpectrometry/edam.owl,3421,/Volumes/ZGMF-X20A/workflomics/APEvASP_test_case_bench/test_cases/MassSpectrometry/bio.tools_proteomics_domain.json,277,/Volumes/ZGMF-X20A/workflomics/APEvASP_test_case_bench/test_cases/MassSpectrometry/No4/constraints_ASP_no4.json,2,candidate_optimized,optimized_candidate,run,60431,1.036585,82.516,91.234,0.051959,82.203,3.300128,3.155954,0.002467,7.495133,0,0,1000,"1,2,3,4,5",3,true,"6,compete",true
463c9f2c-66cd-4d33-92a3-0dddf2afd708,2026-04-22T12:44:00.772937+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/workflomics/APEvASP_test_case_bench/test_cases/MassSpectrometry/No4/config_ASP_Masspectrometry_No4_extended_WC.json,/Volumes/ZGMF-X20A/workflomics/APEvASP_test_case_bench/test_cases/MassSpectrometry/edam.owl,3421,/Volumes/ZGMF-X20A/workflomics/APEvASP_test_case_bench/test_cases/MassSpectrometry/bio.tools_proteomics_domain.json,277,/Volumes/ZGMF-X20A/workflomics/APEvASP_test_case_bench/test_cases/MassSpectrometry/No4/constraints_ASP_no4.json,2,candidate_optimized,optimized_candidate,run,60431,0.975046,85.766,92.672,0.047956,81.297,3.393426,3.611344,0.002867,7.982684,0,0,1000,"1,2,3,4,5",3,true,"6,compete",true
