test,mode,horizon,optimized_enabled,effective_parallel_mode,compressed_candidate_engaged,translation_ms,setup_grounding_ms,solving_ms,memory_used_mb,workflow_candidates_found,constraints_used,timed_out
No1,multi-shot,1,true,,true,8,4,0,39.89,0,true,false
No1,multi-shot,2,true,,true,8,2,0,39.89,0,true,false
No1,multi-shot,3,true,,true,8,2,0,39.89,0,true,false
No1,multi-shot,4,true,,true,8,6,0,39.89,0,true,false
No1,multi-shot,5,true,,true,8,7,1,39.89,0,true,false
No1,multi-shot,6,true,,true,8,10,4,39.89,5,true,false
No1,multi-shot,1,true,,true,9,4,0,39.64,0,true,false
No1,multi-shot,2,true,,true,9,2,0,39.64,0,true,false
No1,multi-shot,3,true,,true,9,2,0,39.64,0,true,false
No1,multi-shot,4,true,,true,9,5,1,39.64,0,true,false
No1,multi-shot,5,true,,true,9,7,1,39.64,0,true,false
No1,multi-shot,6,true,,true,9,10,4,39.64,4,true,false
No1,multi-shot,7,true,,true,9,13,5,39.64,5,true,false
No1,multi-shot,1,true,,true,9,4,0,39.84,0,true,false
No1,multi-shot,2,true,,true,9,2,0,39.84,0,true,false
No1,multi-shot,3,true,,true,9,2,0,39.84,0,true,false
No1,multi-shot,4,true,,true,9,6,0,39.84,0,true,false
No1,multi-shot,5,true,,true,9,7,1,39.84,0,true,false
No1,multi-shot,6,true,,true,9,10,5,39.84,5,true,false
No1,multi-shot,1,true,,true,10,5,0,40.08,0,true,false
No1,multi-shot,2,true,,true,10,2,0,40.08,0,true,false
No1,multi-shot,3,true,,true,10,2,0,40.08,0,true,false
No1,multi-shot,4,true,,true,10,6,1,40.08,0,true,false
No1,multi-shot,5,true,,true,10,8,1,40.08,0,true,false
No1,multi-shot,6,true,,true,10,11,5,40.08,5,true,false
No1,multi-shot,1,true,,true,9,4,0,39.27,0,true,false
No1,multi-shot,2,true,,true,9,2,0,39.88,0,true,false
No1,multi-shot,3,true,,true,9,2,0,39.88,0,true,false
No1,multi-shot,4,true,,true,9,6,0,39.88,0,true,false
No1,multi-shot,5,true,,true,9,7,1,39.88,0,true,false
No1,multi-shot,6,true,,true,9,10,5,39.88,4,true,false
No1,multi-shot,7,true,,true,9,15,4,39.88,5,true,false
No1,multi-shot,1,true,,true,12,6,0,40.16,0,true,false
No1,multi-shot,2,true,,true,12,2,0,40.16,0,true,false
No1,multi-shot,3,true,,true,12,2,0,40.16,0,true,false
No1,multi-shot,4,true,,true,12,2,0,40.16,0,true,false
No1,multi-shot,5,true,,true,12,3,0,40.16,0,true,false
No1,multi-shot,6,true,,true,12,12,5,40.16,4,true,false
No1,multi-shot,1,true,,true,12,6,0,40.06,0,true,false
No1,multi-shot,2,true,,true,12,2,0,40.06,0,true,false
No1,multi-shot,3,true,,true,12,2,0,40.06,0,true,false
No1,multi-shot,4,true,,true,12,2,0,40.06,0,true,false
No1,multi-shot,5,true,,true,12,3,0,40.06,0,true,false
No1,multi-shot,6,true,,true,12,5,0,40.06,0,true,false
No1,multi-shot,7,true,,true,12,19,10,40.06,5,true,false
No1,multi-shot,1,true,,true,9,4,0,39.55,0,true,false
No1,multi-shot,2,true,,true,9,2,0,39.55,0,true,false
No1,multi-shot,3,true,,true,9,2,0,40.14,0,true,false
No1,multi-shot,4,true,,true,9,2,0,40.14,0,true,false
No1,multi-shot,5,true,,true,9,3,0,40.14,0,true,false
No1,multi-shot,6,true,,true,9,10,5,40.14,5,true,false
No1,multi-shot,1,false,,false,8,11,0,40.48,0,true,false
No1,multi-shot,2,false,,false,8,7,0,40.48,0,true,false
No1,multi-shot,3,false,,false,8,10,0,40.48,0,true,false
No1,multi-shot,4,false,,false,8,15,0,40.48,0,true,false
No1,multi-shot,5,false,,false,8,19,0,40.48,0,true,false
No1,multi-shot,6,false,,false,8,28,35,40.48,5,true,false
No1,multi-shot,1,true,,true,13,4,0,40.05,0,true,false
No1,multi-shot,2,true,,true,13,2,0,40.05,0,true,false
No1,multi-shot,3,true,,true,13,2,0,40.05,0,true,false
No1,multi-shot,4,true,,true,13,2,0,40.05,0,true,false
No1,multi-shot,5,true,,true,13,3,0,40.05,0,true,false
No1,multi-shot,6,true,,true,13,10,5,40.05,5,true,false
No1,multi-shot,1,true,,true,10,4,0,41.08,0,true,false
No1,multi-shot,2,true,,true,10,2,0,41.70,0,true,false
No1,multi-shot,3,true,,true,10,2,0,41.70,0,true,false
No1,multi-shot,4,true,,true,10,2,0,41.70,0,true,false
No1,multi-shot,5,true,,true,10,3,0,41.70,0,true,false
No1,multi-shot,6,true,,true,10,10,6,41.70,4,true,false
No1,multi-shot,1,true,,true,10,4,0,40.23,0,true,false
No1,multi-shot,2,true,,true,10,2,0,40.23,0,true,false
No1,multi-shot,3,true,,true,10,2,0,40.23,0,true,false
No1,multi-shot,4,true,,true,10,6,1,40.23,0,true,false
No1,multi-shot,5,true,,true,10,7,1,40.23,0,true,false
No1,multi-shot,6,true,,true,10,10,6,40.23,4,true,false
No1,multi-shot,7,true,,true,10,15,5,40.23,5,true,false
No1,multi-shot,1,true,,true,10,5,0,39.97,0,true,false
No1,multi-shot,2,true,,true,10,2,0,39.97,0,true,false
No1,multi-shot,3,true,,true,10,2,0,39.97,0,true,false
No1,multi-shot,4,true,,true,10,6,1,39.97,0,true,false
No1,multi-shot,5,true,,true,10,7,1,39.97,0,true,false
No1,multi-shot,6,true,,true,10,12,6,39.97,4,true,false
No1,multi-shot,7,true,,true,10,15,5,39.97,5,true,false
No1,multi-shot,1,true,,true,10,5,0,40.19,0,true,false
No1,multi-shot,2,true,,true,10,2,0,40.19,0,true,false
No1,multi-shot,3,true,,true,10,2,0,40.19,0,true,false
No1,multi-shot,4,true,,true,10,6,0,40.19,0,true,false
No1,multi-shot,5,true,,true,10,8,1,40.19,0,true,false
No1,multi-shot,6,true,,true,10,10,6,40.19,5,true,false
No1,multi-shot,1,true,,true,10,5,0,39.91,0,true,false
No1,multi-shot,2,true,,true,10,2,0,39.91,0,true,false
No1,multi-shot,3,true,,true,10,2,0,39.91,0,true,false
No1,multi-shot,4,true,,true,10,6,0,39.91,0,true,false
No1,multi-shot,5,true,,true,10,8,1,39.91,0,true,false
No1,multi-shot,6,true,,true,10,11,6,39.91,4,true,false
No1,multi-shot,7,true,,true,10,15,5,39.91,5,true,false
No1,multi-shot,1,true,,true,9,5,0,39.94,0,true,false
No1,multi-shot,2,true,,true,9,2,0,39.94,0,true,false
No1,multi-shot,3,true,,true,9,2,0,39.94,0,true,false
No1,multi-shot,4,true,,true,9,5,1,39.94,0,true,false
No1,multi-shot,5,true,,true,9,7,1,39.94,0,true,false
No1,multi-shot,6,true,,true,9,10,5,39.94,4,true,false
No1,multi-shot,7,true,,true,9,14,4,39.94,5,true,false
No1,multi-shot,1,true,,true,10,5,0,40.11,0,true,false
No1,multi-shot,2,true,,true,10,2,0,40.11,0,true,false
No1,multi-shot,3,true,,true,10,2,0,40.11,0,true,false
No1,multi-shot,4,true,,true,10,6,1,40.11,0,true,false
No1,multi-shot,5,true,,true,10,8,1,40.11,0,true,false
No1,multi-shot,6,true,,true,10,11,6,40.11,4,true,false
No1,multi-shot,7,true,,true,10,15,5,40.11,5,true,false
No1,multi-shot,1,true,,true,10,5,0,40.22,0,true,false
No1,multi-shot,2,true,,true,10,2,0,40.22,0,true,false
No1,multi-shot,3,true,,true,10,2,0,40.22,0,true,false
No1,multi-shot,4,true,,true,10,6,1,40.22,0,true,false
No1,multi-shot,5,true,,true,10,8,1,40.22,0,true,false
No1,multi-shot,6,true,,true,10,10,6,40.22,4,true,false
No1,multi-shot,7,true,,true,10,15,5,40.22,5,true,false
No1,multi-shot,1,true,,true,9,5,0,40.14,0,true,false
No1,multi-shot,2,true,,true,9,2,0,40.14,0,true,false
No1,multi-shot,3,true,,true,9,2,0,40.14,0,true,false
No1,multi-shot,4,true,,true,9,5,1,40.14,0,true,false
No1,multi-shot,5,true,,true,9,7,1,40.14,0,true,false
No1,multi-shot,6,true,,true,9,10,6,40.14,4,true,false
No1,multi-shot,7,true,,true,9,14,4,40.14,5,true,false
No1,multi-shot,1,true,,true,9,4,0,39.59,0,true,false
No1,multi-shot,2,true,,true,9,2,0,39.59,0,true,false
No1,multi-shot,3,true,,true,9,2,0,39.59,0,true,false
No1,multi-shot,4,true,,true,9,5,0,40.22,0,true,false
No1,multi-shot,5,true,,true,9,7,1,40.22,0,true,false
No1,multi-shot,6,true,,true,9,10,5,40.22,4,true,false
No1,multi-shot,7,true,,true,9,13,4,40.22,5,true,false
No1,multi-shot,1,true,,true,10,5,0,40.27,0,true,false
No1,multi-shot,2,true,,true,10,2,0,40.27,0,true,false
No1,multi-shot,3,true,,true,10,2,0,40.27,0,true,false
No1,multi-shot,4,true,,true,10,6,1,40.27,0,true,false
No1,multi-shot,5,true,,true,10,7,1,40.27,0,true,false
No1,multi-shot,6,true,,true,10,10,5,40.27,5,true,false
No1,multi-shot,1,true,,true,9,5,0,40.20,0,true,false
No1,multi-shot,2,true,,true,9,2,0,40.20,0,true,false
No1,multi-shot,3,true,,true,9,2,0,40.20,0,true,false
No1,multi-shot,4,true,,true,9,5,1,40.20,0,true,false
No1,multi-shot,5,true,,true,9,7,1,40.20,0,true,false
No1,multi-shot,6,true,,true,9,10,5,40.20,5,true,false
No1,multi-shot,1,true,,true,10,5,0,40.16,0,true,false
No1,multi-shot,2,true,,true,10,2,0,40.16,0,true,false
No1,multi-shot,3,true,,true,10,2,0,40.16,0,true,false
No1,multi-shot,4,true,,true,10,6,1,40.16,0,true,false
No1,multi-shot,5,true,,true,10,7,1,40.16,0,true,false
No1,multi-shot,6,true,,true,10,11,5,40.16,5,true,false
No1,multi-shot,1,false,,false,8,12,0,40.45,0,true,false
No1,multi-shot,2,false,,false,8,5,0,40.45,0,true,false
No1,multi-shot,3,false,,false,8,5,1,40.45,0,true,false
No1,multi-shot,4,false,,false,8,5,1,40.45,0,true,false
No1,multi-shot,5,false,,false,8,7,2,40.45,0,true,false
No1,multi-shot,6,false,,false,8,9,6,40.45,5,true,false
No1,multi-shot,1,false,,false,8,12,1,40.55,0,true,false
No1,multi-shot,2,false,,false,8,5,0,40.55,0,true,false
No1,multi-shot,3,false,,false,8,5,1,40.55,0,true,false
No1,multi-shot,4,false,,false,8,5,1,40.55,0,true,false
No1,multi-shot,5,false,,false,8,7,2,40.55,0,true,false
No1,multi-shot,6,false,,false,8,9,5,40.55,5,true,false
No1,multi-shot,1,true,,true,10,6,0,39.56,0,true,false
No1,multi-shot,2,true,,true,10,2,0,40.17,0,true,false
No1,multi-shot,3,true,,true,10,2,0,40.17,0,true,false
No1,multi-shot,4,true,,true,10,6,1,40.17,0,true,false
No1,multi-shot,5,true,,true,10,8,1,40.17,0,true,false
No1,multi-shot,6,true,,true,10,11,4,40.17,5,true,false
No1,multi-shot,1,true,,true,10,5,0,39.55,0,true,false
No1,multi-shot,2,true,,true,10,2,0,40.17,0,true,false
No1,multi-shot,3,true,,true,10,2,0,40.17,0,true,false
No1,multi-shot,4,true,,true,10,6,0,40.17,0,true,false
No1,multi-shot,5,true,,true,10,8,1,40.17,0,true,false
No1,multi-shot,6,true,,true,10,11,5,40.17,5,true,false
No1,multi-shot,1,true,,true,9,5,0,40.19,0,true,false
No1,multi-shot,2,true,,true,9,2,0,40.19,0,true,false
No1,multi-shot,3,true,,true,9,2,0,40.19,0,true,false
No1,multi-shot,4,true,,true,9,5,1,40.19,0,true,false
No1,multi-shot,5,true,,true,9,8,1,40.19,0,true,false
No1,multi-shot,6,true,,true,9,11,5,40.19,5,true,false
No1,multi-shot,1,true,,true,10,4,0,40.17,0,true,false
No1,multi-shot,2,true,,true,10,2,0,40.17,0,true,false
No1,multi-shot,3,true,,true,10,2,0,40.17,0,true,false
No1,multi-shot,4,true,,true,10,5,0,40.17,0,true,false
No1,multi-shot,5,true,,true,10,7,1,40.17,0,true,false
No1,multi-shot,6,true,,true,10,11,5,40.17,5,true,false
No1,multi-shot,1,true,,true,9,5,0,40.19,0,true,false
No1,multi-shot,2,true,,true,9,2,0,40.19,0,true,false
No1,multi-shot,3,true,,true,9,2,0,40.19,0,true,false
No1,multi-shot,4,true,,true,9,6,1,40.19,0,true,false
No1,multi-shot,5,true,,true,9,8,1,40.19,0,true,false
No1,multi-shot,6,true,,true,9,11,5,40.19,5,true,false
No1,multi-shot,1,false,,false,8,12,1,40.20,0,true,false
No1,multi-shot,2,false,,false,8,5,0,40.20,0,true,false
No1,multi-shot,3,false,,false,8,5,1,40.20,0,true,false
No1,multi-shot,4,false,,false,8,5,1,40.20,0,true,false
No1,multi-shot,5,false,,false,8,7,2,40.20,0,true,false
No1,multi-shot,6,false,,false,8,9,6,40.20,5,true,false
No1,multi-shot,1,true,,true,9,4,0,39.61,0,true,false
No1,multi-shot,2,true,,true,9,1,0,39.61,0,true,false
No1,multi-shot,3,true,,true,9,2,0,39.61,0,true,false
No1,multi-shot,4,true,,true,9,5,0,40.22,0,true,false
No1,multi-shot,5,true,,true,9,7,1,40.22,0,true,false
No1,multi-shot,6,true,,true,9,10,4,40.22,5,true,false
No1,multi-shot,1,true,,true,9,5,0,39.98,0,true,false
No1,multi-shot,2,true,,true,9,2,0,39.98,0,true,false
No1,multi-shot,3,true,,true,9,2,0,39.98,0,true,false
No1,multi-shot,4,true,,true,9,6,1,39.98,0,true,false
No1,multi-shot,5,true,,true,9,7,1,39.98,0,true,false
No1,multi-shot,6,true,,true,9,11,4,39.98,5,true,false
No1,multi-shot,1,false,,false,8,12,1,40.42,0,true,false
No1,multi-shot,2,false,,false,8,5,0,40.42,0,true,false
No1,multi-shot,3,false,,false,8,5,1,40.42,0,true,false
No1,multi-shot,4,false,,false,8,6,1,40.42,0,true,false
No1,multi-shot,5,false,,false,8,7,2,40.42,0,true,false
No1,multi-shot,6,false,,false,8,11,6,40.42,5,true,false
No1,multi-shot,1,false,,false,7,10,1,39.80,0,true,false
No1,multi-shot,2,false,,false,7,5,0,40.44,0,true,false
No1,multi-shot,3,false,,false,7,5,1,40.44,0,true,false
No1,multi-shot,4,false,,false,7,5,1,40.44,0,true,false
No1,multi-shot,5,false,,false,7,6,2,40.44,0,true,false
No1,multi-shot,6,false,,false,7,10,6,40.44,5,true,false
No1,multi-shot,1,false,,false,8,10,1,39.78,0,true,false
