test,mode,horizon,optimized_enabled,translation_ms,setup_grounding_ms,solving_ms,memory_used_mb,workflow_candidates_found,constraints_used,timed_out
biotools,multi-shot,1,true,9973,648,13,1462.03,1,true,false
biotools,multi-shot,2,true,9973,4905,14133,3088.92,764,true,false
biotools,multi-shot,3,true,9973,90735,89459,28084.02,1000,true,false
biotools,multi-shot,1,true,9437,605,11,1334.73,1,true,false
biotools,multi-shot,2,true,9437,4608,2980,2880.59,754,true,false
biotools,multi-shot,3,true,9437,70443,37255,23228.89,1000,true,false
biotools,multi-shot,1,true,11086,601,11,1340.70,1,true,false
biotools,multi-shot,2,true,11086,4523,3074,2811.75,754,true,false
biotools,multi-shot,3,true,11086,67889,32402,23181.59,1000,true,false
biotools,multi-shot,1,true,12595,708,13,1485.95,1,true,false
biotools,multi-shot,2,true,12595,5504,14917,2705.27,764,true,false
biotools,multi-shot,3,true,12595,108901,70505,12422.30,1000,true,false
