test,mode,horizon,optimized_enabled,translation_ms,setup_grounding_ms,solving_ms,memory_used_mb,workflow_candidates_found,constraints_used,timed_out
biotools,multi-shot,1,true,12075,560,0,1149.81,0,true,false
biotools,multi-shot,2,true,12075,1691,0,1687.28,0,true,false
biotools,multi-shot,3,true,12075,37033,17627,15511.48,91,true,false
biotools,multi-shot,1,true,8681,444,0,1048.41,0,true,false
biotools,multi-shot,2,true,8681,1428,0,1517.70,0,true,false
biotools,multi-shot,3,true,8681,30686,12912,12418.66,91,true,false
biotools,multi-shot,1,true,9781,530,0,1160.27,0,true,false
biotools,multi-shot,2,true,9781,1722,0,1685.86,0,true,false
biotools,multi-shot,3,true,9781,38419,16270,14330.62,91,true,false
biotools,multi-shot,1,true,10396,552,0,1157.41,0,true,false
biotools,multi-shot,2,true,10396,1813,0,1689.06,0,true,false
biotools,multi-shot,3,true,10396,40252,17209,14374.88,91,true,false
biotools,multi-shot,1,true,11038,544,0,1145.70,0,true,false
biotools,multi-shot,2,true,11038,1782,0,1686.12,0,true,false
biotools,multi-shot,3,true,11038,40012,17837,14359.25,91,true,false
biotools,multi-shot,1,true,9257,443,0,1080.17,0,true,false
biotools,multi-shot,2,true,9257,1490,0,1541.42,0,true,false
biotools,multi-shot,3,true,9257,31004,11925,12443.27,91,true,false
biotools,multi-shot,1,true,9681,465,0,1061.36,0,true,false
biotools,multi-shot,2,true,9681,1503,0,1543.42,0,true,false
biotools,multi-shot,3,true,9681,31248,11020,12492.03,91,true,false
biotools,multi-shot,1,true,10008,466,0,1065.95,0,true,false
biotools,multi-shot,2,true,10008,1548,0,1539.22,0,true,false
biotools,multi-shot,3,true,10008,32693,15217,18876.19,91,true,false
biotools,multi-shot,1,true,10057,482,0,1071.72,0,true,false
biotools,multi-shot,2,true,10057,1567,0,1542.34,0,true,false
biotools,multi-shot,3,true,10057,32524,14925,15723.00,91,true,false
biotools,multi-shot,1,true,10036,509,0,1082.00,0,true,false
biotools,multi-shot,2,true,10036,1757,0,1542.05,0,true,false
biotools,multi-shot,3,true,10036,33682,14018,12492.34,91,true,false
