approach,config_file,total_sec,translation_sec,grounding_sec_total,solving_sec_total,peak_rss_mb
,,68.988235,12.075440,39.285025,17.627056,
,,54.151476,8.681309,32.557683,12.912013,
,,66.722314,9.780522,40.670904,16.270444,
optimized_multi_shot,config_ASP_biotools_1000_3_WC.json,70.222841,10.396479,42.616314,17.209342,14375.719
optimized_multi_shot,config_ASP_biotools_1000_3_WC.json,71.212071,11.037557,42.336961,17.837091,14360.188
optimized_multi_shot,config_ASP_biotools_1000_3_WC.json,54.120869,9.257305,32.937468,11.925435,12443.266
optimized_multi_shot,config_ASP_biotools_1000_3_WC.json,53.917829,9.681339,33.215541,11.020363,12492.031
optimized_multi_shot,config_ASP_biotools_1000_3_WC.json,59.932627,10.007646,34.706966,15.217164,18908.297
optimized_multi_shot,config_ASP_biotools_1000_3_WC.json,59.554870,10.056962,34.572841,14.924548,15723.125
optimized_multi_shot,config_ASP_biotools_1000_3_WC.json,60.002766,10.035901,35.948088,14.018336,12492.344
optimized_multi_shot,config_ASP_biotools_1000_3_WC.json,60.508071,10.887203,34.368273,15.252176,12443.234
optimized_multi_shot,config_ASP_biotools_1000_3_WC.json,54.892895,10.922294,32.986382,10.983788,12620.094
optimized_multi_shot,config_ASP_biotools_1000_3_WC.json,75.095960,11.328541,42.962174,20.804312,13109.469
optimized_multi_shot,config_ASP_biotools_1000_3_WC.json,67.268647,12.129259,39.615009,15.523633,14267.094
optimized_multi_shot,config_ASP_biotools_1000_3_WC.json,66.163021,10.445654,39.583629,16.133005,14309.688
optimized_multi_shot,config_ASP_biotools_1000_3_WC.json,66.013495,10.271171,40.538967,15.202933,14268.922
