run_id,timestamp_utc,mode,solver_family,solver_approach,grounding_strategy,config_path,ontology_used,ontology_entry_count,tool_annotation_used,tool_count,constraints_used,constraint_count,translation_builder,translation_schema,completed_stage,fact_count,translation_sec,translation_peak_rss_mb,base_grounding_sec,base_grounding_peak_rss_mb,grounding_sec_total,solving_sec_total,rendering_sec_total,total_sec,raw_models_seen,raw_solutions_found,solutions_found,grounded_horizons,first_satisfiable_horizon,optimized_enabled,effective_parallel_mode,compressed_candidate_engaged
cd77afff-492e-41e0-8da6-e772661e219c,2026-04-12T11:44:36.857323+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/config_ASP_defect_2000_8_WC.json,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/MaterialsScience_taxonomy.owl,94,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/tool_annotations.json,28,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/constraints_ASP.json,17,runtime_legacy,legacy,run,632,0.013444,38.719,0.007894,43.141,0.245006,2.233063,0.110049,2.601562,3120,1500,1080,"1,2,3,4,5,6,7,8,9,10",9,false,,false
5cc94870-b447-4d65-a2c3-bf22b20dae1f,2026-04-12T11:44:42.560468+00:00,single-shot,single-shot,one-shot,hybrid,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/config_ASP_defect_2000_8_WC.json,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/MaterialsScience_taxonomy.owl,94,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/tool_annotations.json,28,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/constraints_ASP.json,17,runtime_legacy,legacy,run,576,0.006866,38.672,0.006863,43.047,0.439786,3.689668,0.120087,4.256407,2784,1500,1080,10,10,false,,false
4c867863-7484-4f4d-bbb6-c491fce54688,2026-04-12T11:51:03.168358+00:00,single-shot,single-shot,one-shot,hybrid,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/config_ASP_defect_2000_8_WC.json,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/MaterialsScience_taxonomy.owl,94,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/tool_annotations.json,28,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/constraints_ASP.json,17,runtime_legacy,legacy,run,632,0.012114,38.875,0.011978,43.281,0.387642,2.867063,0.119346,3.386165,2784,1500,1080,10,10,false,,false
ca4ac139-dad0-467e-b8ad-c01b19431c48,2026-04-12T14:36:32.248256+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/config_ASP_defect_2000_8_WC.json,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/MaterialsScience_taxonomy.owl,94,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/tool_annotations.json,28,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/constraints_ASP.json,17,candidate_compressed,compressed_candidate,run,1348,0.010851,38.641,0.003806,42.016,0.183200,1.766052,0.102850,2.062953,2784,1500,1080,"1,2,3,4,5,6,7,8,9,10",9,true,,true
b311c281-fac0-48bc-a2d7-189b7e3dc121,2026-04-12T14:59:53.416058+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/config_ASP_defect_2000_8_WC.json,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/MaterialsScience_taxonomy.owl,94,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/tool_annotations.json,28,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/constraints_ASP.json,17,runtime_legacy,legacy,run,632,0.012142,36.656,0.007669,41.281,0.267389,0.981917,0.122438,1.383886,3120,1500,1080,"1,2,3,4,5,6,7,8,9,10",9,false,"6,compete",false
91e9489d-f2eb-485b-a560-f5972255c9b2,2026-04-12T15:11:47.267550+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/config_ASP_defect_2000_8_WC.json,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/MaterialsScience_taxonomy.owl,94,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/tool_annotations.json,28,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/constraints_ASP.json,17,runtime_legacy,legacy,run,632,0.009797,34.922,0.006264,40.719,0.197255,0.446194,0.110495,0.763741,1500,1500,514,"1,2,3,4,5,6,7,8,9,10",9,false,"6,compete",false
947a654b-c2d7-4b42-8c5f-758e086d23d9,2026-04-12T15:12:28.705363+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/config_ASP_defect_2000_8_WC.json,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/MaterialsScience_taxonomy.owl,94,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/tool_annotations.json,28,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/constraints_ASP.json,17,runtime_legacy,legacy,run,632,0.010546,38.375,0.006510,41.609,0.210783,0.921663,0.120937,1.263929,3120,1500,1080,"1,2,3,4,5,6,7,8,9,10",9,false,"6,compete",false
0fe5a9dd-6d07-451a-aae0-af3b6752e43a,2026-04-12T15:43:58.330301+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/config_ASP_defect_2000_8_WC.json,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/MaterialsScience_taxonomy.owl,94,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/tool_annotations.json,28,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/constraints_ASP.json,17,runtime_legacy,legacy,run,632,0.011780,38.922,0.007891,43.984,0.256624,2.690534,0.116498,3.075435,3120,1500,1392,"1,2,3,4,5,6,7,8,9,10",9,false,"6,compete",false
1375fe5f-a242-4b4d-89f6-23de76532a1a,2026-04-12T15:45:00.484411+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/config_ASP_defect_2000_8_WC.json,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/MaterialsScience_taxonomy.owl,94,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/tool_annotations.json,28,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/constraints_ASP.json,17,runtime_legacy,legacy,run,632,0.011903,39.094,0.007760,44.281,0.254418,2.722985,0.115475,3.104782,3120,1500,1392,"1,2,3,4,5,6,7,8,9,10",9,false,"6,compete",false
08e99a62-b5f6-44cf-9575-f3db1a1e710f,2026-04-12T15:45:51.042598+00:00,multi-shot,multi-shot,legacy,hybrid,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/config_ASP_defect_2000_8_WC.json,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/MaterialsScience_taxonomy.owl,94,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/tool_annotations.json,28,/Volumes/ZGMF-X20A/GARYU/APEvASP_test_case_bench/test_cases/defect_concentration/constraints_ASP.json,17,runtime_legacy,legacy,run,632,0.012119,38.656,0.007942,44.062,0.261346,2.765787,0.115962,3.155214,3120,1500,1080,"1,2,3,4,5,6,7,8,9,10",9,false,"6,compete",false
